sample_name,Dataset,project_name,vessel,ESP_sample_match,year,season,collection_date_Flyer,sampling_platform,sampling_device,filtration_device,control_status,station,bottom_depth_m,bottom_depth_group_m,CTD_cast,depth_m,temp_C,salinity_PSU,O2_mL_L,O2_group,density_kG_m3,chlA_ug_L,fluor_volt,latitude,lat_group,longitude,PO4,SiO4,NO3,NO2,NH4,volume_filtered_ml,filter_type,filter_pore_size_um,target_subfragment,F_primer,R_primer,primers_FR,seq_platform,seq_model,seq_chemistry,run_center,run_date,Description,cruise
Lasker18Sc153_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc153_5_D0251,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,112,83,,153,50,9.12030029,33.9193001,2.549000025,,26.25359917,0.07626572,,36.66888889,36.5-37,-121.9580556,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc158_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc158_17_D0275,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,115,82,,158,20,10.9825001,33.8387985,5.573999882,,25.87479973,8.39917755,,36.71083333,36.5-37,-121.915,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc158_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc158_19_D0276,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,115,82,,158,20,10.9825001,33.8387985,5.573999882,,25.87479973,8.39917755,,36.71083333,36.5-37,-121.915,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc158_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc158_3_D0270,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,115,82,,158,70,9.10949993,33.9388008,2.237999916,,26.27090073,0,,36.71083333,36.5-37,-121.915,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc158_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc158_5_D0271,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,115,82,,158,70,9.10949993,33.9388008,2.237999916,,26.27090073,0,,36.71083333,36.5-37,-121.915,1.938,29.103,26.745,0.168,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc154_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc154_17_D0265,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,116,116,,154,10,10.6362,33.8205986,4.737999916,,25.92180061,1.68748605,,36.7425,36.5-37,-121.9713889,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc154_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc154_19_D0266,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,116,116,,154,10,10.6362,33.8205986,4.737999916,,25.92180061,1.68748605,,36.7425,36.5-37,-121.9713889,1.355,20.155,20.134,0.254,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc154_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc154_3_D0260,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,116,116,,154,100,8.67840004,33.9999008,2.065999985,,26.38710022,0,,36.7425,36.5-37,-121.9713889,1.961,35.065,30.953,0.112,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc154_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc154_5_D0261,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,116,116,,154,100,8.67840004,33.9999008,2.065999985,,26.38710022,0,,36.7425,36.5-37,-121.9713889,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc151_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc151_17_D0245,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,114,520,500-2000,151,10,11.2571001,33.8279991,5.366000175,,25.81669998,9.43749714,,36.79138889,36.5-37,-121.9022222,1.099,12.65,10.497,0.237,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
