parentEventID,materialSampleID,eventID,eventDate,samplingProtocol,locationID,waterBody,locality,minimumDepthInMeters,decimalLatitude,decimalLongitude,# ASVs
GOMECC4_CAMPECHE_Sta93_Surface_C,SAMN37516397,GOMECC4_CAMPECHE_Sta93_Surface_C_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.167,-90.768,199
GOMECC4_CANCUN_Sta117_DCM_A,SAMN37516485,GOMECC4_CANCUN_Sta117_DCM_A_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,30,21.591,-86.503,440
GOMECC4_CANCUN_Sta117_DCM_B,SAMN37516486,GOMECC4_CANCUN_Sta117_DCM_B_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,30,21.591,-86.503,428
GOMECC4_CANCUN_Sta117_DCM_C,SAMN37516487,GOMECC4_CANCUN_Sta117_DCM_C_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,30,21.591,-86.503,468
GOMECC4_CANCUN_Sta117_Deep_A,SAMN37516482,GOMECC4_CANCUN_Sta117_Deep_A_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,54,21.591,-86.503,467
GOMECC4_CANCUN_Sta117_Deep_B,SAMN37516483,GOMECC4_CANCUN_Sta117_Deep_B_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,54,21.591,-86.503,524
GOMECC4_CANCUN_Sta117_Deep_C,SAMN37516484,GOMECC4_CANCUN_Sta117_Deep_C_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,54,21.591,-86.503,364
GOMECC4_CANCUN_Sta117_Surface_A,SAMN37516488,GOMECC4_CANCUN_Sta117_Surface_A_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.591,-86.503,330
GOMECC4_CANCUN_Sta117_Surface_B,SAMN37516489,GOMECC4_CANCUN_Sta117_Surface_B_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.591,-86.503,349
GOMECC4_CANCUN_Sta117_Surface_C,SAMN37516490,GOMECC4_CANCUN_Sta117_Surface_C_18S,2021-10-15T19:00-04:00,CTD rosette,CANCUN_Sta117,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.591,-86.503,289
GOMECC4_CANCUN_Sta118_DCM_A,SAMN37516494,GOMECC4_CANCUN_Sta118_DCM_A_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,64,21.633,-86.242,340
GOMECC4_CANCUN_Sta118_DCM_B,SAMN37516495,GOMECC4_CANCUN_Sta118_DCM_B_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,64,21.633,-86.242,319
GOMECC4_CANCUN_Sta118_DCM_C,SAMN37516496,GOMECC4_CANCUN_Sta118_DCM_C_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,64,21.633,-86.242,492
GOMECC4_CANCUN_Sta118_Deep_A,SAMN37516491,GOMECC4_CANCUN_Sta118_Deep_A_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,1045,21.633,-86.242,409
GOMECC4_CANCUN_Sta118_Deep_B,SAMN37516492,GOMECC4_CANCUN_Sta118_Deep_B_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,1045,21.633,-86.242,374
GOMECC4_CANCUN_Sta118_Deep_C,SAMN37516493,GOMECC4_CANCUN_Sta118_Deep_C_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,1045,21.633,-86.242,417
GOMECC4_CANCUN_Sta118_Surface_A,SAMN37516497,GOMECC4_CANCUN_Sta118_Surface_A_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,2,21.633,-86.242,227
GOMECC4_CANCUN_Sta118_Surface_B,SAMN37516498,GOMECC4_CANCUN_Sta118_Surface_B_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,2,21.633,-86.242,201
GOMECC4_CANCUN_Sta118_Surface_C,SAMN37516499,GOMECC4_CANCUN_Sta118_Surface_C_18S,2021-10-15T22:00-04:00,CTD rosette,CANCUN_Sta118,"Mexico, Gulf of",Mexico: Gulf of Mexico,2,21.633,-86.242,280
GOMECC4_CAPECORAL_Sta131_DCM_A,SAMN37516533,GOMECC4_CAPECORAL_Sta131_DCM_A_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,24,26.729,-83.101,213
GOMECC4_CAPECORAL_Sta131_DCM_B,SAMN37516534,GOMECC4_CAPECORAL_Sta131_DCM_B_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,24,26.729,-83.101,230
GOMECC4_CAPECORAL_Sta131_DCM_C,SAMN37516535,GOMECC4_CAPECORAL_Sta131_DCM_C_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,24,26.729,-83.101,212
GOMECC4_CAPECORAL_Sta131_Deep_A,SAMN37516530,GOMECC4_CAPECORAL_Sta131_Deep_A_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,33,26.729,-83.101,375
GOMECC4_CAPECORAL_Sta131_Deep_B,SAMN37516531,GOMECC4_CAPECORAL_Sta131_Deep_B_18S,2021-10-19T12:31-04:00,CTD rosette,CAPECORAL_Sta131,"Mexico, Gulf of",USA: Gulf of Mexico,33,26.729,-83.101,233
