#FeatureID	taxonomy	confidence
ASV_130	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae	0.884695809
ASV_131	d__Eukaryota; p__Chlorophyta; c__Ulvophyceae; o__Ulvophyceae; f__Ulvophyceae; g__Ulvophyceae; s__marine_metagenome	0.99771492
ASV_132	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.853749083
ASV_133	d__Bacteria	0.977347097
ASV_134	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.975762744
ASV_135	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oligotrichia	0.983725637
ASV_136	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II	0.719460983
ASV_137	d__Eukaryota	0.995081109
ASV_138	d__Eukaryota	0.998951417
ASV_139	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.991277907
ASV_140	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.904348109
ASV_141	d__Bacteria	0.833875092
ASV_142	d__Eukaryota	0.905841632
ASV_143	d__Eukaryota; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes	0.970787016
ASV_144	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae	0.706259391
ASV_145	d__Eukaryota	0.993665347
ASV_146	d__Bacteria; p__Proteobacteria	0.974084459
ASV_147	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.753290158
ASV_148	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.942782318
ASV_149	d__Bacteria	0.84879449
ASV_150	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__MSBL9	0.856661637
ASV_151	d__Eukaryota; p__Chlorophyta; c__Mamiellophyceae; o__Mamiellales; f__Mamiellales; g__Bathycoccus; s__Bathycoccus_prasinos	0.708477388
ASV_152	d__Bacteria; p__Proteobacteria	0.759567901
ASV_153	Unassigned	0.957613668
ASV_154	d__Eukaryota	0.864999296
ASV_155	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.973490455
ASV_156	d__Eukaryota	0.999207418
ASV_157	d__Bacteria	0.877693368
ASV_158	d__Eukaryota	0.996964612
ASV_159	d__Eukaryota	0.999942623
ASV_160	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II; s__SAR11_cluster	0.75302547
ASV_161	d__Eukaryota	0.913399018
ASV_162	Unassigned	0.58305341
ASV_163	d__Bacteria; p__SAR324_clade(Marine_group_B); c__SAR324_clade(Marine_group_B); o__SAR324_clade(Marine_group_B); f__SAR324_clade(Marine_group_B); g__SAR324_clade(Marine_group_B); s__hydrothermal_vent	0.887378021
ASV_164	Unassigned	0.745206164
ASV_165	d__Eukaryota	0.998529327
ASV_166	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus	0.935861718
ASV_167	Unassigned	0.4987825
ASV_168	d__Eukaryota	0.760465891
ASV_169	d__Eukaryota; p__Apicomplexa; c__Conoidasida; o__Gregarinasina; f__Eugregarinorida; g__Ascogregarina	0.85795082
ASV_170	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.98294991
ASV_171	Unassigned	0.428868634
ASV_172	d__Eukaryota; p__MAST-3; c__MAST-3L; o__MAST-3L; f__MAST-3L; g__MAST-3L; s__uncultured_stramenopile	0.805391921
ASV_173	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.998483235
ASV_174	d__Eukaryota; p__Ochrophyta; c__Xanthophyceae; o__Mischococcales; f__Mischococcales	0.858067003
ASV_175	d__Eukaryota	0.845220641
ASV_176	d__Eukaryota	0.999992154
ASV_177	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia; g__Tintinnidium; s__Tintinnidium_mucicola	0.991341615
ASV_178	d__Eukaryota	0.999899636
ASV_179	d__Eukaryota	0.994640478
ASV_180	d__Eukaryota	0.951566305
ASV_181	d__Eukaryota; p__Chlorophyta; c__Chlorophyceae; o__Chlorophyceae; f__Chlorophyceae; g__Chlorophyceae	0.900499512
ASV_182	d__Eukaryota; p__Ochrophyta; c__Dictyochophyceae; o__Pedinellales; f__Pedinellales	0.846061062
ASV_183	Unassigned	0.960826103
ASV_184	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae	0.89200208
ASV_185	d__Eukaryota	0.893273619
ASV_186	d__Eukaryota	0.837217084
ASV_187	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.982801373
ASV_188	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.976024236
ASV_189	d__Bacteria	0.812922921
ASV_190	d__Bacteria	0.796545844
ASV_191	Unassigned	0.503842331
ASV_192	d__Eukaryota; p__Diatomea	0.997353601
ASV_193	Unassigned	0.888760398
ASV_194	d__Eukaryota	0.998369255
ASV_195	d__Eukaryota	0.950847249
ASV_196	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae	0.895687436
ASV_197	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.957405024
ASV_198	d__Eukaryota	0.801953482
ASV_199	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae	0.715196831
ASV_200	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.973552367
ASV_201	Unassigned	0.309922279
ASV_202	d__Eukaryota	0.999994508
ASV_203	d__Eukaryota	0.999113021
ASV_204	d__Bacteria	0.77458264
ASV_205	d__Bacteria	0.763542533
ASV_206	d__Eukaryota	0.999976563
ASV_207	d__Bacteria	0.855600865
ASV_208	d__Bacteria; p__Proteobacteria	0.998364242
ASV_209	d__Eukaryota	0.999956169
ASV_210	d__Eukaryota	0.999008848
ASV_211	d__Eukaryota; p__Dinoflagellata	0.708090268
ASV_212	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__OCS116_clade; g__OCS116_clade	0.912937194
ASV_213	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.988835672
ASV_214	Unassigned	0.944068901
ASV_215	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae	0.91406321
ASV_216	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae	0.800173182
ASV_217	Unassigned	0.922762624
ASV_218	Unassigned	0.833764674
ASV_219	d__Eukaryota	0.999948688
ASV_220	d__Eukaryota	0.9973678
ASV_221	d__Bacteria	0.8623755
ASV_222	d__Eukaryota; p__Ciliophora; c__Intramacronucleata	0.800252735
ASV_223	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Opisthonecta; s__uncultured_eukaryote	0.778348779
ASV_224	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.932907553
ASV_225	d__Eukaryota	0.998529327
ASV_226	d__Bacteria	0.800431624
ASV_227	Unassigned	0.300060352
ASV_228	d__Eukaryota	0.999901592
ASV_229	d__Eukaryota	0.999639818
ASV_230	Unassigned	0.905060692
ASV_231	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae	0.993493712
ASV_232	d__Eukaryota; p__Prymnesiophyceae	0.943597365
ASV_233	d__Eukaryota	0.999619793
ASV_234	d__Bacteria	0.779559809
ASV_235	Unassigned	0.822348506
ASV_236	d__Bacteria; p__Proteobacteria	0.705536997
ASV_237	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	0.805917572
ASV_238	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.912278288
ASV_239	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea; g__SCM38C39_marine_group; s__uncultured_eukaryote	0.896117364
ASV_240	d__Bacteria	0.869225258
ASV_241	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya	0.714381893
ASV_242	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II	0.89241813
ASV_243	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.989325589
ASV_244	d__Eukaryota	0.919189279
ASV_245	d__Eukaryota; p__Chlorophyta; c__Chlorodendrophyceae; o__Chlorodendrales; f__Chlorodendrales; g__Tetraselmis; s__uncultured_eukaryote	0.94547344
ASV_246	d__Eukaryota	0.999941936
ASV_247	d__Eukaryota	0.999592483
ASV_248	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea; g__Diplonema	0.701676174
ASV_249	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.9679656
ASV_250	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia	0.710607261
ASV_251	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.957947269
ASV_252	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.985619883
ASV_253	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.748606103
ASV_254	d__Eukaryota	0.869456455
ASV_255	d__Eukaryota	0.998216773
ASV_256	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__PS1_clade; g__PS1_clade	0.729904721
ASV_257	d__Eukaryota; p__Diatomea; c__Bacillariophyceae; o__Bacillariophyceae; f__Bacillariophyceae	0.783110455
ASV_258	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.994884713
ASV_259	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.929507088
ASV_260	d__Bacteria	0.965706711
ASV_261	d__Eukaryota	0.998110068
ASV_262	Unassigned	0.900398171
ASV_263	d__Eukaryota	0.999995149
ASV_264	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.911167308
ASV_265	d__Eukaryota	0.99851851
ASV_266	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__SAR86_clade; g__SAR86_clade	0.962215939
ASV_267	Unassigned	0.768659117
ASV_268	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.97711159
ASV_269	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.910553613
ASV_270	d__Eukaryota	0.999696113
ASV_271	d__Eukaryota; p__Porifera; c__Demospongiae; o__Haplosclerida; f__Haplosclerida; g__Haplosclerida; s__Haliclona_cinerea	0.924584091
ASV_272	d__Eukaryota	0.99792851
ASV_273	d__Eukaryota	0.999863163
