"","SampleID","PC1","PC2","PC3","seqID","year","Dataset","project"
"100","Lasker18Sc128_7",-0.0690014415369341,0.119701161811557,0.0315420392897069,"Lasker18Sc128_7_D0107_VV",2018,"Merged2018","Lasker18S"
"101","Lasker18Sc129_17",-0.0755939554762999,-0.0730562537373194,-0.0349765641167001,"Lasker18Sc129_17_D0121_VV",2018,"Merged2018","Lasker18S"
"102","Lasker18Sc129_19",-0.0631719083540569,-0.0910897128750313,-0.0173570894063056,"Lasker18Sc129_19_D0122_VV",2018,"Merged2018","Lasker18S"
"103","Lasker18Sc129_3",-0.00882752603521086,0.0458144058356893,-0.0847347023085697,"Lasker18Sc129_3_D0116_VV",2018,"Merged2018","Lasker18S"
"104","Lasker18Sc129_5",-0.00677003121574788,0.0432224499318364,-0.139604887324194,"Lasker18Sc129_5_D0117_VV",2018,"Merged2018","Lasker18S"
"105","Lasker18Sc130_17",-0.100401385640599,-0.0636195877416808,0.0109038724655296,"Lasker18Sc130_17_D0132_VV",2018,"Merged2018","Lasker18S"
"106","Lasker18Sc130_19",-0.10971553411326,-0.0633841865617897,0.0782464211798223,"Lasker18Sc130_19_D0133_VV",2018,"Merged2018","Lasker18S"
"107","Lasker18Sc130_3",-0.0333451557147902,0.0796059021249142,-0.0999164252821989,"Lasker18Sc130_3_D0127_VV",2018,"Merged2018","Lasker18S"
"108","Lasker18Sc130_5",-0.0384837994487289,0.0772167578684534,-0.0983638150299765,"Lasker18Sc130_5_D0128_VV",2018,"Merged2018","Lasker18S"
"109","Lasker18Sc132_17",-0.106629333520405,-0.0775505431581217,0.000206295001508101,"Lasker18Sc132_17_D0142_VV",2018,"Merged2018","Lasker18S"
"110","Lasker18Sc132_19",-0.102892599167727,-0.0908115187822107,-0.0321870001815404,"Lasker18Sc132_19_D0143_VV",2018,"Merged2018","Lasker18S"
"111","Lasker18Sc132_3",-0.0485105502939917,0.109308317082878,-0.0736530232608805,"Lasker18Sc132_3_D0137_VV",2018,"Merged2018","Lasker18S"
"112","Lasker18Sc132_5",-0.0401493974857189,0.108466706404553,-0.0901242157689089,"Lasker18Sc132_5_D0138_VV",2018,"Merged2018","Lasker18S"
"113","Lasker18Sc133_17",-0.0945300025535025,-0.0950540770386734,0.00157181080034988,"Lasker18Sc133_17_D0152_VV",2018,"Merged2018","Lasker18S"
"114","Lasker18Sc133_19",-0.0955840734008532,-0.0931722653257816,0.0446841779128913,"Lasker18Sc133_19_D0153_VV",2018,"Merged2018","Lasker18S"
"115","Lasker18Sc133_3",-0.0367828968940076,0.0877600658112524,-0.0879744711667495,"Lasker18Sc133_3_D0147_VV",2018,"Merged2018","Lasker18S"
"116","Lasker18Sc133_5",-0.0409037924679015,0.0872098463498113,-0.071268247625167,"Lasker18Sc133_5_D0148_VV",2018,"Merged2018","Lasker18S"
"117","Lasker18Sc134_17",-0.0820628951838643,-0.0646127583339736,0.0135111396700443,"Lasker18Sc134_17_D0163_VV",2018,"Merged2018","Lasker18S"
"118","Lasker18Sc134_19",-0.0745033811563738,-0.0769685006430632,-0.0036719307338333,"Lasker18Sc134_19_D0164_VV",2018,"Merged2018","Lasker18S"
"119","Lasker18Sc134_3",-0.031021690012266,-0.016427532746392,-0.12317096169163,"Lasker18Sc134_3_D0158_VV",2018,"Merged2018","Lasker18S"
