,Lasker18Sc122_3_D0052_UU,Lasker18Sc122_5_D0053_UU,Lasker18Sc122_17_D0057_UU,Lasker18Sc122_19_D0058_UU,Lasker18Sc123_3_D0063_UU,Lasker18Sc123_5_D0064_UU,Lasker18Sc123_17_D0068_UU,Lasker18Sc123_19_D0069_UU,Lasker18Sc124_3_D0073_UU,Lasker18Sc124_5_D0074_UU,Lasker18Sc124_17_D0078_UU,Lasker18Sc124_19_D0079_UU,Lasker18Sc126_3_D0085_UU,Lasker18Sc126_5_D0086_UU,Lasker18Sc126_17_D0090_UU,Lasker18Sc127_3_D0095_UU,Lasker18Sc127_5_D0096_UU,Lasker18Sc127_17_D0100_UU,Lasker18Sc127_19_D0101_UU,Lasker18Sc128_3_D0105_UU,Lasker18Sc128_7_D0107_UU,Lasker18Sc128_16_D0110_UU,Lasker18Sc128_19_D0111_UU,Lasker18Sc129_3_D0116_UU,Lasker18Sc129_5_D0117_UU,Lasker18Sc129_17_D0121_UU,Lasker18Sc129_19_D0122_UU,Lasker18Sc130_3_D0127_UU,Lasker18Sc130_5_D0128_UU,Lasker18Sc130_17_D0132_UU,Lasker18Sc130_19_D0133_UU,Lasker18Sc132_3_D0137_UU,Lasker18Sc132_5_D0138_UU,Lasker18Sc132_17_D0142_UU,Lasker18Sc132_19_D0143_UU,Lasker18Sc133_3_D0147_UU,Lasker18Sc133_5_D0148_UU,Lasker18Sc133_17_D0152_UU,Lasker18Sc133_19_D0153_UU,Lasker18Sc134_3_D0158_UU,Lasker18Sc134_5_D0159_UU,Lasker18Sc134_17_D0163_UU,Lasker18Sc134_19_D0164_UU,Lasker18Sc135_17_D0173_UU,Lasker18Sc135_19_D0174_UU,Lasker18Sc145_3_D0219_UU,Lasker18Sc145_5_D0220_UU,Lasker18Sc145_17_D0224_UU,Lasker18Sc145_19_D0225_UU,Lasker18Sc150_3_D0229_UU,Lasker18Sc150_5_D0230_UU,Lasker18Sc150_17_D0234_UU,Lasker18Sc150_19_D0235_UU,Lasker18Sc151_3_D0240_UU,Lasker18Sc151_5_D0241_UU,Lasker18Sc151_17_D0245_UU,Lasker18Sc151_19_D0246_UU,Lasker18Sc153_3_D0250_UU,Lasker18Sc153_5_D0251_UU,Lasker18Sc153_17_D0255_UU,Lasker18Sc153_19_D0256_UU,Lasker18Sc154_3_D0260_UU,Lasker18Sc154_5_D0261_UU,Lasker18Sc154_17_D0265_UU,Lasker18Sc154_19_D0266_UU,Lasker18Sc158_3_D0270_UU,Lasker18Sc158_5_D0271_UU,Lasker18Sc158_17_D0275_UU,Lasker18Sc158_19_D0276_UU
ASV_46,4,4,0,1,4,2,3,9,0,2,70,50,1,13,27,7,0,55,38,3,20,15,25,121,6,55,28,7,44,897,745,39,10,640,209,266,35,52,170,686,1425,179,206,6903,4685,39,19,984,1333,9,34,12,33,104,25,443,758,55,53,2601,1007,31,145,187,0,96,29,370,189
ASV_47,25,12,56,68,31,25,72,185,67,155,159,153,10,19,671,23,23,606,898,40,34,133,216,28,188,121,153,37,53,149,213,36,61,266,236,92,114,257,477,141,102,247,342,691,410,58,20,15,28,94,92,799,844,41,25,819,643,61,73,256,732,89,35,488,457,83,142,692,362
ASV_48,217,38,6890,6215,20,7,473,422,1,0,5,20,2,1,0,7,4,54,5,1,0,94,2,5,11,196,260,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5,0,0,0,0
ASV_49,21,20,149,111,30,32,30,35,8,39,204,209,8,5,109,40,22,24,71,45,43,454,599,32,70,143,87,19,21,40,9,21,32,115,113,38,22,13,16,10,4,121,197,2,6,19,43,3,12,36,14,7,13,21,10,1,1,2,14,9,4,43,44,63,36,13,26,20,23
ASV_50,4,3,910,489,0,18,15,3,45,10,17,27,12,14,1833,1,1219,2455,4023,0,0,504,807,1,15,1889,2979,35,38,1153,350,8,49,425,576,99,2,34,16,9,100,90,21,243,209,6,21,5,159,4,3,14,7,9,5,14,8,8,11,1,2,10,4,12,8,7,19,176,17
ASV_51,58,28,621,531,76,59,9,21,51,75,393,408,68,64,93,45,74,42,138,71,65,113,212,33,65,151,218,83,119,115,35,100,116,11,11,74,63,0,0,31,7,2,1,346,236,101,37,3,10,112,101,480,413,98,49,870,824,201,242,201,312,119,149,44,91,105,153,167,103
ASV_52,0,0,2,2,0,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,188,764,4,191,32,168,0,33,0,0,0,1,12,0,488,110,0,0,113,346,2,0,383,437,0,0,439,398,3,0,151,40,0,0,596,1527,0,0,830,327
ASV_53,0,1,4,1,0,7,65,466,0,2,0,0,1,0,299,0,0,208,468,1,8,106,277,0,0,188,1135,1,7,301,677,1,5,3785,5116,5,536,138,410,112,62,611,646,1399,1278,1,3,541,1199,11,13,11416,2990,13,3,3434,5248,17,134,16233,9006,3,15,1109,10942,258,1191,14137,3481
ASV_54,3,13,29,18,62,112,263,332,2,0,19,36,9,27,1866,40,31,2393,3066,11,19,181,287,46,64,833,738,79,56,783,663,232,46,941,786,34,29,23,48,199,181,220,247,432,508,52,5,64,251,131,76,1179,676,185,78,741,1059,111,95,418,298,178,210,1309,1734,64,413,2024,1388
ASV_55,0,4,0,0,0,0,14,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,139,714,4,162,34,138,0,33,0,2,0,1,10,0,488,81,0,0,100,305,0,0,405,425,0,3,431,352,1,1,140,38,1,0,508,1542,0,0,735,342
