,CN18Sc09_2_eDNA_Z,CN18Sc10_2_eDNA_Z,CN18Sc14_2_eDNA_Z,CN18Sc14_8_eDNA_Z,CN18Sc15_2_eDNA_Z,CN18Sc15_8_eDNA_Z,CN18Sc18_2_eDNA_Z,CN18Sc18_8_eDNA_Z,CN18Sc27_2_eDNA_Z,CN18Sc27_8_eDNA_Z,CN18SESPkoa_SC49_Z,CN18SESPkoa_SC47_Z,CN18SESPkoa_SC45_Z,CN18SESPkoa_SC44_Z,CN18SESPkoa_SC42_Z,CN18SESPkoa_SC41_Z,CN18SESPkoa_SC40_Z,CN18SESPkoa_SC39_Z,CN18SESPkoa_SC37_Z,CN18SESPkoa_SC36_Z,CN18Fc12_8_eDNA_HH,CN18Fc30_4_eDNA_HH,CN18Fc43_5_eDNA_HH,CN18Fc19_5_eDNA_HH,CN18Fc32_4_eDNA_HH,CN18Fc44_8_eDNA_HH,CN18Fc21_6_eDNA_HH,CN18Fc33_5_eDNA_HH,CN18Fc46_8_eDNA_HH,CN18Fc22_6_eDNA_HH,CN18Fc47_6_eDNA_HH,CN18Fc24_6_eDNA_HH,CN18Fc36_6_eDNA_HH,CN18Fc49_6_eDNA_HH,CN18Fc25_5_eDNA_HH,CN18Fc38_5_eDNA_HH,CN18Fc51_5_eDNA_HH,CN18Fc27_4_eDNA_HH,CN18Fc40_6_eDNA_HH,CN18Fc29_6_eDNA_HH,CN18Fc41_6_eDNA_HH,CN18Sc09_2_eDNA_AA,CN18Sc10_2_eDNA_AA,CN18Sc14_2_eDNA_AA,CN18Sc14_8_eDNA_AA,CN18Sc15_2_eDNA_AA,CN18Sc15_8_eDNA_AA,CN18Sc18_2_eDNA_AA,CN18Sc18_8_eDNA_AA,CN18Sc27_2_eDNA_AA,CN18Sc27_8_eDNA_AA,CN18SESPkoa_SC49_AA,CN18SESPkoa_SC47_AA,CN18SESPkoa_SC45_AA,CN18SESPkoa_SC44_AA,CN18SESPkoa_SC42_AA,CN18SESPkoa_SC41_AA,CN18SESPkoa_SC40_AA,CN18SESPkoa_SC39_AA,CN18SESPkoa_SC37_AA,CN18SESPkoa_SC36_AA,CN18FESPkoa_SC58_CC,CN18FESPkoa_SC57_CC,CN18FESPkoa_SC56_CC,CN18FESPkoa_SC55_CC,CN18FESPkoa_SC53_CC,CN18FESPkoa_SC52_CC,CN18FESPkoa_SC49_CC,CN18FESPkoa_SC47_CC,CN18FESPkoa_SC46_CC,CN18FESPkoa_SC44_CC,CN18FESPkoa_SC43_CC,CN18FESPkoa_SC41_CC,CN18FESPkoa_SC40_CC,CN18FESPkoa_SC37_CC,CN18FESPkoa_SC34_CC,CN18FESPkoa_SC32_CC,CN18FESPkoa_SC31_CC,CN18FESPkoa_SC30_CC,CN18FESPkoa_SC29_CC,CN18FESPkoa_SC26_CC,CN18FESPkoa_SC24_CC
ASV_5066,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,5,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5068,3,3,9,1,3,0,3,0,6,1,0,3,0,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,5,4,0,2,0,2,0,4,0,1,3,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5071,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,4,11,2,1,6,0,2,2,1,1,0,1,2,0,5,0,1,0,1,4,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,4,4,2,1,1,1,0,0,3,2,3,3,2,2,2,1,6,2,3,1,1
ASV_5073,7,7,5,1,4,0,5,0,2,0,1,4,1,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,5,0,7,0,2,0,3,6,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,4,0,2,2,1,0,8,0,0,1,0,0,1,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,7,2,4,5,2,2,9,4,1,4,3,6,5,0,0,0,3
ASV_5075,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
ASV_5076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,0,5,6,7,1,9,0,1,2,0,0,3,1,4,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,0,0,0,3,5,0,2,3,4,1,4,5,2,3,0,0
ASV_5077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
ASV_5079,27,19,3,0,2,0,0,0,9,0,6,5,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2,0,3,0,0,0,8,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV_5081,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,1,1,2,5,0,2,0,2,0,0,6,12,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,2,2,3,6,5,0,5,3,0,2,3,3,0,2
ASV_5084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5086,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,2,9,1,1,2,3,2,3,24,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,20,11,17,23,30,21,25,19,10,36,40,34,21,12,1,2,14
ASV_5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
ASV_5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,2,8,5,21,5,0,5,0,6,3,2,14,6,2,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,1,3,1,3,6,4,3,4,4,0,0,1,4,0,0,0,6
ASV_5093,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,1,2,1,1,1,0,1,1,0,1,4,1,1,0,0,3,0,0,0,0
ASV_5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5096,5,5,9,0,6,0,6,0,25,0,5,6,4,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,1,3,0,6,0,18,0,2,4,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5099,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV_5104,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,62
ASV_5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,4,0,13,0,6,0,8,8,2,2,1,0,8,1,13,12,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,4,5,2,1,1,4,5,1,4,4,6,6,10,1,1,2,1
ASV_5112,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5113,0,0,0,0,1,6,0,0,0,0,0,0,0,26,0,10,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,7,0,1,0,3,0,0,1,0,1,0,0,0,4,0,2,0,1,1,0,0,1,1,0,0,2
ASV_5116,2,4,1,0,0,0,1,0,5,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,13,0,0,0
ASV_5118,5,5,1,4,1,0,1,0,4,0,1,1,0,0,3,0,0,0,0,0,3,0,2,0,4,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,1,0,4,1,0,3,0,0,0,0,1,1,0,5,0,1,0,1,0,0,2,2,0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0
ASV_5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,0,1,0,6,0,7,0,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5122,1,6,0,1,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_5123,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,4
ASV_5124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,5,4,2,0,0,1,4,5,2,4,3,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,2,2,1,0,2,2,4,1,0,2,12,1,0,1,0,0,3
ASV_5130,2,2,4,5,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,4,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,2,6,2,0,3,0,1,5,2,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,4,1,1,1,4,5,1,0,2,4,1,0,0,0,0,2
ASV_5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV_5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5140,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,2,0,0,1
ASV_5142,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2,0,3,0,2,2,1,2,4,0,4,3,2,1,6,0,0,0,1,0,4,1,2,3,0,3,0,2,0,0,0,2,2,1,1,0,0,1,0,2,0,1,0,1,0,3,7,3,7,1,0,1,1,4,0,3,3,1,2,1,2,2,0,0,1,0,0
ASV_5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,6,6,3,3,4,5,6,2,5,7,4,4,4,1,2,1,0,2,0
ASV_5146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,4,0,0,0,1,2,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,1,0,0,1,1,0,0
ASV_5147,8,6,3,5,12,0,8,0,1,0,3,5,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,7,5,0,7,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5148,2,4,1,1,1,0,5,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5152,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,5,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2
ASV_5153,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5154,3,6,6,1,8,0,1,0,3,0,1,3,2,0,0,0,5,0,2,0,0,3,2,5,0,1,0,4,0,1,0,2,6,0,0,2,1,5,0,2,4,7,3,1,0,5,0,4,0,3,0,5,2,1,0,3,0,0,0,0,1,0,1,2,5,1,0,1,0,3,0,0,2,0,2,1,0,0,0,0,0,3
ASV_5155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,4,1,3,0,0,1,5,1,2,0,0,0,3
ASV_5156,3,2,1,0,0,0,3,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5160,0,0,0,0,0,0,0,5,0,4,0,1,0,0,0,1,0,0,0,10,0,3,3,3,3,2,1,6,2,1,0,3,2,0,0,4,5,1,1,7,1,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,3,0,2,5,2,1,2,2,2,1,2,5,3,1,1,2,1,0,1,0,0,0
ASV_5162,0,1,0,1,3,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,2,0,4,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
ASV_5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,7,4,2,0,9,0,5,0,0,6,5,3,2,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,9,2,4,1,7,5,4,7,0,1,3,3,4,1,2,0,2
ASV_5166,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5167,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5169,2,2,1,0,2,0,5,0,1,0,1,2,0,0,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,3,0,2,1,0,0,1,4,1,0,0,0,2,0,0,0,5,0,2,0,1,0,0,1,1,0,0,2,1,3,0,3,2,0,0,0,1
ASV_5171,9,9,6,0,4,0,1,0,0,0,4,7,4,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,0,3,0,4,0,3,0,7,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,4,0,3,6,0,0,2,0,5,2,3,4,4,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,5,2,1,3,2,1,1,1,1,1,3,2,1,0,0,0,1
ASV_5176,1,1,3,3,3,0,2,0,0,0,0,2,1,0,0,0,2,0,0,1,3,6,0,9,0,4,5,3,1,9,0,5,5,0,7,5,4,5,2,6,6,1,4,2,2,2,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,14,9,10,10,1,1,2,2,2,7,3,7,7,6,10,3,2,3,0,0,1
ASV_5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5185,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5186,0,3,2,0,1,9,1,0,1,0,1,1,1,6,1,1,0,0,1,3,2,4,1,0,0,2,0,6,1,1,0,2,1,0,0,0,3,0,3,3,4,0,0,2,1,1,5,2,0,0,0,0,1,2,6,0,3,0,0,0,3,4,2,1,2,1,4,2,0,1,3,3,3,0,1,2,0,1,0,0,0,0
ASV_5189,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,1,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,2,3,1,0,0,2,1,1,0,0,0
ASV_5193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_5194,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5,2,8,1,0,11,2,0,8,0,2,2,0,2,4,0,0,5,4,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,5,2,0,0,0,1,2,0,1,5,3,5,3,1,8,3,2,0,0
ASV_5195,9,3,0,0,20,0,0,0,8,0,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,5,0,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
