ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_629	1551	1821	887	854	345	448	519	481	286	344	752	400	302	419	442	325	567	98	170	89	166	81	241	189	82	416	45	1146	258	20	169	378	36	232	101	731	194	124	456	755	58	824	1728	7896	45	7070	12	13875	47	8113	48	110	44	93	47	368	255	167	8961	98	8557	13	6931
ASV_694	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	10	0	0	186	0	0	23	69	0	2	34	0	31	9	9	1	40	2	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	5	0	0	0	1	0	0	5	0	1	2	2	0	0	3	0	3	4	0	0	0	0	2	0	2	2	0	1	0	0	4	2	0	3	0	0	0	0	0	5	0	0	18	9	3	2	0	3	0	3	1	11	0	0	0	0	3	0	0	0	18	0	0
ASV_752	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_798	218	279	333	381	392	530	736	358	313	242	276	377	222	374	163	136	331	521	666	387	913	156	143	82	87	94	182	100	172	21	171	183	282	182	77	185	193	216	174	87	23	89	167	24	21	0	36	3	80	2	28	180	28	96	61	89	70	34	9	126	0	22	2
ASV_821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ASV_838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	2	1	11138	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_874	150	123	107	99	103	95	184	68	66	98	65	105	66	87	56	69	100	43	115	82	70	15	44	34	40	56	34	112	87	8	64	118	34	59	45	79	56	71	112	128	9	53	313	24	0	10	4	227	0	135	0	0	4	0	0	3	9	0	47	6	5	8	14
ASV_892	9	6	0	6	20	13	4	4	8	12	10	8	9	37	2	10	2	20	41	22	13	7	10	4	5	7	0	4	2	0	3	9	19	4	9	15	3	19	8	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_945	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_947	8	2	5	11	7	6	8	3	1	4	4	8	7	5	6	0	6	3	16	2	0	6	0	2	1	1	8	1	3	0	0	6	8	4	2	5	3	7	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_979	18	13	22	24	1	14	8	13	0	2	16	0	0	3	0	0	11	0	0	2	0	0	0	0	2	6	0	4	0	0	0	0	0	0	0	0	1	0	0	6	0	17	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1054	2	545	0	1	0	5	0	0	1	25	4	0	0	0	0	0	0	3	6	0	3	3	0	0	1	7	11	0	0	5	348	5	0	1812	148	3	1	7	45	213	739	477	123	0	1	7	1	32	0	5	0	0	0	0	0	0	3	0	84	0	0	0	1659
ASV_1074	3	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0
ASV_1130	1274	1940	1815	1499	1165	1375	1965	1884	884	1377	1506	2420	1439	1355	1503	2062	1700	1011	1857	1460	2176	982	1088	1570	1074	912	1698	1041	1186	369	2474	1290	1874	992	499	767	1005	1010	1904	692	300	569	1045	404	2287	59	1410	192	2838	92	2180	3910	2461	1632	2645	2092	1154	2363	175	880	206	587	53
ASV_1132	0	0	3	0	0	5	2	0	0	0	0	0	0	0	2	0	0	2	4	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	4	2	0	1	0	0	6	3	4	2	2	2	7	5	4	7	2	0	0	22
ASV_1349	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
ASV_1421	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0
