Family,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc145_3_D0219,Lasker18Sc145_5_D0220,Lasker18Sc145_17_D0224,Lasker18Sc145_19_D0225,Lasker18Sc150_3_D0229,Lasker18Sc150_5_D0230,Lasker18Sc150_17_D0234,Lasker18Sc150_19_D0235,Lasker18Sc151_3_D0240,Lasker18Sc151_5_D0241,Lasker18Sc151_17_D0245,Lasker18Sc151_19_D0246,Lasker18Sc153_3_D0250,Lasker18Sc153_5_D0251,Lasker18Sc153_17_D0255,Lasker18Sc153_19_D0256,Lasker18Sc154_3_D0260,Lasker18Sc154_5_D0261,Lasker18Sc154_17_D0265,Lasker18Sc154_19_D0266,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
Cephalothricidae,23,45,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Ceramiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratobasidiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocerotaceae,2,15,1,1,8,33,2,10,8,0,50,20,116,110,44,234,345,113,85,9,58,313,180,15,50,337,394,0,16,61,71,4,5,33,24,4,12,21,19,70,47,47,6,13,10,3,2,6,0,14,21,85,42,2,7,52,60,14,11,17,7,0,0,132,107,9,18,61,41
Chaetosphaeridiaceae,0,19,0,3,0,1,0,0,0,2,0,0,1,0,0,2,10,0,0,0,4,0,0,0,0,0,0,0,7,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,2,3,1,3,1,0,0,0,3,0,0,1,0,5,0,6,0,0,0
Chattonellaceae,22,49,18,13,74,281,0,0,41,14,72,42,50,62,0,64,73,0,0,9,12,4,2,7,2,2,3,79,105,2,0,108,101,3,0,45,70,0,0,15,32,0,0,0,0,100,64,0,0,99,85,44,20,235,121,620,464,31,36,31,63,116,60,25,20,55,17,36,22
Chimaeridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Chirodropidae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
