,Lasker18Sc122_3_D0052_VV,Lasker18Sc122_5_D0053_VV,Lasker18Sc122_17_D0057_VV,Lasker18Sc122_19_D0058_VV,Lasker18Sc123_3_D0063_VV,Lasker18Sc123_5_D0064_VV,Lasker18Sc123_17_D0068_VV,Lasker18Sc123_19_D0069_VV,Lasker18Sc124_3_D0073_VV,Lasker18Sc124_5_D0074_VV,Lasker18Sc124_17_D0078_VV,Lasker18Sc124_19_D0079_VV,Lasker18Sc126_3_D0085_VV,Lasker18Sc126_5_D0086_VV,Lasker18Sc126_17_D0090_VV,Lasker18Sc127_3_D0095_VV,Lasker18Sc127_5_D0096_VV,Lasker18Sc127_17_D0100_VV,Lasker18Sc127_19_D0101_VV,Lasker18Sc128_3_D0105_VV,Lasker18Sc128_7_D0107_VV,Lasker18Sc128_16_D0110_VV,Lasker18Sc128_19_D0111_VV,Lasker18Sc129_3_D0116_VV,Lasker18Sc129_5_D0117_VV,Lasker18Sc129_17_D0121_VV,Lasker18Sc129_19_D0122_VV,Lasker18Sc130_3_D0127_VV,Lasker18Sc130_5_D0128_VV,Lasker18Sc130_17_D0132_VV,Lasker18Sc130_19_D0133_VV,Lasker18Sc132_3_D0137_VV,Lasker18Sc132_5_D0138_VV,Lasker18Sc132_17_D0142_VV,Lasker18Sc132_19_D0143_VV,Lasker18Sc133_3_D0147_VV,Lasker18Sc133_5_D0148_VV,Lasker18Sc133_17_D0152_VV,Lasker18Sc133_19_D0153_VV,Lasker18Sc134_3_D0158_VV,Lasker18Sc134_5_D0159_VV,Lasker18Sc134_17_D0163_VV,Lasker18Sc134_19_D0164_VV,Lasker18Sc135_17_D0173_VV,Lasker18Sc135_19_D0174_VV,Lasker18Sc145_3_D0219_VV,Lasker18Sc145_5_D0220_VV,Lasker18Sc145_17_D0224_VV,Lasker18Sc145_19_D0225_VV,Lasker18Sc150_3_D0229_VV,Lasker18Sc150_5_D0230_VV,Lasker18Sc150_17_D0234_VV,Lasker18Sc150_19_D0235_VV,Lasker18Sc151_3_D0240_VV,Lasker18Sc151_5_D0241_VV,Lasker18Sc151_17_D0245_VV,Lasker18Sc151_19_D0246_VV,Lasker18Sc153_3_D0250_VV,Lasker18Sc153_5_D0251_VV,Lasker18Sc153_17_D0255_VV,Lasker18Sc153_19_D0256_VV,Lasker18Sc154_3_D0260_VV,Lasker18Sc154_5_D0261_VV,Lasker18Sc154_17_D0265_VV,Lasker18Sc154_19_D0266_VV,Lasker18Sc158_3_D0270_VV,Lasker18Sc158_5_D0271_VV,Lasker18Sc158_17_D0275_VV,Lasker18Sc158_19_D0276_VV
ASV_41,16,68,20,28,1605,2856,16701,13837,4,57,12,19,37,23,983,77,393,3297,1861,23,70,1477,765,105,135,2728,1920,43,65,753,1463,66,47,1084,891,45,23,87,75,166,236,97,70,2333,1487,16,0,142,489,35,94,2169,1210,59,14,967,1048,119,104,312,76,42,0,3295,3066,24,30,2887,1573
ASV_42,0,20,0,0,11,40,0,1,11,20,0,0,0,16,0,0,0,0,1,18,0,1,0,0,0,0,0,20,6,4,5,0,1,63,58,49,93,504,322,541,214,124,61,0,0,98,0,235,1455,38,53,446,124,0,0,678,654,22,63,97,120,0,0,188,522,186,36,606,139
ASV_43,0,0,0,0,1,0,0,0,0,0,389,274,0,0,8,0,2,0,7,0,1,234,210,0,0,502,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_44,5,0,0,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1
ASV_45,118,233,0,0,0,3,0,0,29,227,0,0,0,31,0,94,320,0,0,20,148,0,0,0,0,0,0,125,63,0,0,108,143,0,0,496,429,0,0,0,0,0,0,0,0,143,121,0,0,70,320,0,1,371,459,0,0,95,80,0,0,82,48,9,0,15,10,0,0
ASV_46,48,98,14969,13387,0,0,15,12,0,0,22,13,0,0,8,0,0,4,4,10,0,419,219,0,0,14,25,0,26,0,0,0,0,0,0,9,0,0,9,21,27,1,1,0,0,98,0,0,0,201,18,0,53,0,0,0,0,22,67,24,0,24,0,0,0,12,2,0,0
ASV_48,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,4,0,3,2,0,3,0,0,0,2,5,0,7,1,20,0,0,70,13,0,2,24,15,3,0,17,1,0,0,11,24,0,0,0,5
ASV_49,15,25,4,0,3,42,307,188,1,28,0,0,14,5,1,10,40,426,61,2,11,15,4,7,12,84,31,117,456,172,608,133,56,399,384,54,174,243,236,781,168,53,15,5977,3917,9,14,1010,2795,116,166,5794,3711,108,48,9357,8847,240,202,10623,12390,10,13,4363,4096,63,29,9072,5014
ASV_50,37,57,39,40,103,277,21,1,0,1,0,0,8,2,0,0,9,2,0,0,0,8,13,114,215,11,4,550,614,35,17,321,419,34,68,401,296,232,294,733,1184,55,13,36,7,627,378,0,0,328,748,120,61,592,383,47,40,255,424,168,273,471,290,180,91,574,519,95,57
ASV_51,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,2737,0,0,155,352,1,0,140,90,27,14,105,404,4,92,0,1,19263,27200,0,0,0,0,0,0,5,3,0,1,0,0,0,0,1,0,0,1,0,0
