ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_834	12	1	4	3	2	1	1	3	0	1	3	0	2	1	0	0	1	0	0	1	0	0	3	0	0	1	0	6	8	0	0	2	0	3	0	5	6	3	1	8	1	11	21	16	0	6	0	2	0	7	0	0	0	0	0	0	1	1	6	0	1	0	2
ASV_835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	6	3	3	3	6	0	0	0	5	0	48	0
ASV_836	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	2	0	2	0	0	0	0	0	0	0	0	4	0	2	0	2
ASV_837	32	4	4	7	6	3	4	3	1	6	3	7	13	4	6	2	8	3	4	8	3	1	0	4	4	3	0	9	5	1	0	5	0	0	2	10	4	3	5	3	3	6	58	42	0	13	1	6	0	24	0	1	0	0	0	1	1	0	9	0	2	0	0
ASV_838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	9	0	5	0	3	8	2	17	4	14	4	3	0	3	0	4	0
ASV_839	101	54	128	146	0	5	36	40	2	0	107	0	1	3	17	0	66	1	30	35	42	0	0	0	6	14	0	16	0	10	0	6	0	0	0	0	0	0	0	0	2	0	13	6	0	5	0	1	0	2	0	0	0	0	0	0	0	0	36	0	2	0	1
ASV_840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	7	2	28	13	5	6	13	0	13	0	3	0
ASV_842	10	4	8	9	13	15	8	32	10	55	44	42	57	31	14	34	54	20	28	35	4	0	27	61	68	44	38	31	82	94	63	14	57	24	40	26	30	50	8	3	8	2	8	0	1	0	5	0	0	0	0	0	13	2	6	7	12	0	0	18	0	9	0
ASV_843	6	0	3	0	0	0	0	2	3	1	3	2	9	1	0	3	7	0	0	0	2	0	0	0	1	2	0	4	0	0	1	4	0	0	0	10	1	0	0	2	0	3	6	9	0	13	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
ASV_844	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13	0	10	0	45	0	0	0	0	0	0	0	0	38	0	0	0	2
ASV_845	0	34	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
