"","SampleID","PC1","PC2","PC3","FilterID","year","Dataset","project"
"68","CN18FESPkoa_SC49_CC",0.0856469277527912,-0.107318987084288,0.00229646217727145,"CN18FESPkoa_SC49",2018,"Merged2018","CN18F"
"69","CN18FESPkoa_SC47_CC",0.0849026007726799,-0.100945797609744,-0.0287278838539732,"CN18FESPkoa_SC47",2018,"Merged2018","CN18F"
"70","CN18FESPkoa_SC46_CC",0.0854329025688533,-0.127503561831959,0.0576396744773413,"CN18FESPkoa_SC46",2018,"Merged2018","CN18F"
"71","CN18FESPkoa_SC44_CC",0.0906231663521277,-0.122708741752387,0.0241738672443824,"CN18FESPkoa_SC44",2018,"Merged2018","CN18F"
"72","CN18FESPkoa_SC43_CC",0.0948085208779314,-0.117277693114309,0.0744813866128994,"CN18FESPkoa_SC43",2018,"Merged2018","CN18F"
"73","CN18FESPkoa_SC41_CC",0.101085111506232,-0.126274585760744,0.0686494022782353,"CN18FESPkoa_SC41",2018,"Merged2018","CN18F"
"74","CN18FESPkoa_SC40_CC",0.108713755570138,-0.108786353706339,0.0331238184891514,"CN18FESPkoa_SC40",2018,"Merged2018","CN18F"
"75","CN18FESPkoa_SC37_CC",0.112715308804967,-0.12639390168945,0.0764165291006296,"CN18FESPkoa_SC37",2018,"Merged2018","CN18F"
"76","CN18FESPkoa_SC34_CC",0.104380174655894,-0.126506500102829,0.0290535926582999,"CN18FESPkoa_SC34",2018,"Merged2018","CN18F"
"77","CN18FESPkoa_SC32_CC",0.0968189677232402,-0.097682463629161,0.00530344059374764,"CN18FESPkoa_SC32",2018,"Merged2018","CN18F"
"78","CN18FESPkoa_SC31_CC",0.0947600072424342,-0.128711878611258,0.0378635378661221,"CN18FESPkoa_SC31",2018,"Merged2018","CN18F"
"79","CN18FESPkoa_SC30_CC",0.107104184729156,-0.0687471338752437,-0.0194766653824879,"CN18FESPkoa_SC30",2018,"Merged2018","CN18F"
"80","CN18FESPkoa_SC29_CC",0.101719970049059,-0.0368255495033686,-0.0596796763823281,"CN18FESPkoa_SC29",2018,"Merged2018","CN18F"
"81","CN18FESPkoa_SC26_CC",0.087013857577019,-0.00278405805565434,-0.120647228895438,"CN18FESPkoa_SC26",2018,"Merged2018","CN18F"
"82","CN18FESPkoa_SC24_CC",0.106428181309475,-0.0792328613950617,0.0817216361959514,"CN18FESPkoa_SC24",2018,"Merged2018","CN18F"
"83","Lasker18Sc122_3_D0052_UU",-0.059064193786939,-0.0118472710361868,-0.0648033257323861,"Lasker18Sc122_3_D0052",2018,"Merged2018","Lasker18S"
"84","Lasker18Sc122_5_D0053_UU",-0.0612167174287691,-0.0188522317723359,-0.060506808786562,"Lasker18Sc122_5_D0053",2018,"Merged2018","Lasker18S"
"85","Lasker18Sc122_17_D0057_UU",0.0135564036389367,0.0108529187954994,-0.0506998834707214,"Lasker18Sc122_17_D0057",2018,"Merged2018","Lasker18S"
"86","Lasker18Sc122_19_D0058_UU",0.0278686275723772,0.0400295413900423,-0.060972291615608,"Lasker18Sc122_19_D0058",2018,"Merged2018","Lasker18S"
"87","Lasker18Sc123_3_D0063_UU",-0.0814050850742878,-0.033475105180626,0.0560373376324959,"Lasker18Sc123_3_D0063",2018,"Merged2018","Lasker18S"
"88","Lasker18Sc123_5_D0064_UU",-0.080315897997196,-0.0284160875319472,0.0428621038524351,"Lasker18Sc123_5_D0064",2018,"Merged2018","Lasker18S"
"89","Lasker18Sc123_17_D0068_UU",0.0183502618801605,0.0699811827334004,-0.109994354936402,"Lasker18Sc123_17_D0068",2018,"Merged2018","Lasker18S"
"90","Lasker18Sc123_19_D0069_UU",0.0421529647991006,0.0828550508432664,-0.104987323853632,"Lasker18Sc123_19_D0069",2018,"Merged2018","Lasker18S"
"91","Lasker18Sc124_3_D0073_UU",-0.0620874181412985,-0.00846566043041775,-0.111957249188104,"Lasker18Sc124_3_D0073",2018,"Merged2018","Lasker18S"
"92","Lasker18Sc124_5_D0074_UU",-0.0735801651126579,-0.0130473415100458,-0.110481793807649,"Lasker18Sc124_5_D0074",2018,"Merged2018","Lasker18S"
"93","Lasker18Sc124_17_D0078_UU",0.0440835505489349,0.00407505225431902,-0.105076193988305,"Lasker18Sc124_17_D0078",2018,"Merged2018","Lasker18S"
"94","Lasker18Sc124_19_D0079_UU",0.0429709675653863,0.0227018974581512,-0.104990713052045,"Lasker18Sc124_19_D0079",2018,"Merged2018","Lasker18S"
"95","Lasker18Sc126_3_D0085_UU",-0.0841866987853436,-0.0189856779025078,-0.0689688368448275,"Lasker18Sc126_3_D0085",2018,"Merged2018","Lasker18S"
"96","Lasker18Sc126_5_D0086_UU",-0.0631476952884249,-0.00748149772139305,-0.092695363769656,"Lasker18Sc126_5_D0086",2018,"Merged2018","Lasker18S"
"97","Lasker18Sc126_17_D0090_UU",0.055493105738747,0.0563618501247815,-0.00595620074792408,"Lasker18Sc126_17_D0090",2018,"Merged2018","Lasker18S"
"98","Lasker18Sc127_3_D0095_UU",-0.0725636872071499,0.00696338023270427,-0.0535943457380141,"Lasker18Sc127_3_D0095",2018,"Merged2018","Lasker18S"
"99","Lasker18Sc127_5_D0096_UU",-0.0808161441386004,-0.00717445128440307,-0.0634444900554441,"Lasker18Sc127_5_D0096",2018,"Merged2018","Lasker18S"
"100","Lasker18Sc127_17_D0100_UU",0.055053273313835,0.0703807714436805,-0.0717521724599049,"Lasker18Sc127_17_D0100",2018,"Merged2018","Lasker18S"
"101","Lasker18Sc127_19_D0101_UU",0.0642126537124182,0.0781441530744392,-0.0242142748572314,"Lasker18Sc127_19_D0101",2018,"Merged2018","Lasker18S"
"102","Lasker18Sc128_3_D0105_UU",-0.0789440356493292,-0.0111086637464635,-0.120581222994172,"Lasker18Sc128_3_D0105",2018,"Merged2018","Lasker18S"
"103","Lasker18Sc128_7_D0107_UU",-0.0850372044786554,-0.0150228338645923,-0.115018956544232,"Lasker18Sc128_7_D0107",2018,"Merged2018","Lasker18S"
"104","Lasker18Sc128_16_D0110_UU",0.0400562765343842,0.0593303174038421,-0.0525147770573172,"Lasker18Sc128_16_D0110",2018,"Merged2018","Lasker18S"
"105","Lasker18Sc128_19_D0111_UU",0.052244485242338,0.0742702741609257,-0.0301896422232384,"Lasker18Sc128_19_D0111",2018,"Merged2018","Lasker18S"
"106","Lasker18Sc129_3_D0116_UU",-0.00353727351208343,0.0135828061947067,-0.0516544214310932,"Lasker18Sc129_3_D0116",2018,"Merged2018","Lasker18S"
"107","Lasker18Sc129_5_D0117_UU",-0.0114265641578123,0.00182660110564704,-0.0394020155609122,"Lasker18Sc129_5_D0117",2018,"Merged2018","Lasker18S"
"108","Lasker18Sc129_17_D0121_UU",0.0613840400176284,0.0629375769152294,0.0182174659659614,"Lasker18Sc129_17_D0121",2018,"Merged2018","Lasker18S"
"109","Lasker18Sc129_19_D0122_UU",0.0698126442365226,0.0673074705764918,0.00755617337836348,"Lasker18Sc129_19_D0122",2018,"Merged2018","Lasker18S"
"110","Lasker18Sc130_3_D0127_UU",-0.114487688067175,-0.0384411734719028,0.119346227557664,"Lasker18Sc130_3_D0127",2018,"Merged2018","Lasker18S"
"111","Lasker18Sc130_5_D0128_UU",-0.113194458535529,-0.0418417064566252,0.118581956515539,"Lasker18Sc130_5_D0128",2018,"Merged2018","Lasker18S"
"112","Lasker18Sc130_17_D0132_UU",0.0615064460997121,0.125497631934123,0.0271875813931733,"Lasker18Sc130_17_D0132",2018,"Merged2018","Lasker18S"
"113","Lasker18Sc130_19_D0133_UU",0.0744327576583719,0.132604306553452,-0.0333019423613767,"Lasker18Sc130_19_D0133",2018,"Merged2018","Lasker18S"
"114","Lasker18Sc132_3_D0137_UU",-0.124195597957125,-0.0314944019552814,0.104841366312601,"Lasker18Sc132_3_D0137",2018,"Merged2018","Lasker18S"
"115","Lasker18Sc132_5_D0138_UU",-0.112832124225223,-0.0196831255221343,0.0984853113349667,"Lasker18Sc132_5_D0138",2018,"Merged2018","Lasker18S"
"116","Lasker18Sc132_17_D0142_UU",0.0466666557858124,0.148865674202604,0.122924819632183,"Lasker18Sc132_17_D0142",2018,"Merged2018","Lasker18S"
"117","Lasker18Sc132_19_D0143_UU",0.0629059706071721,0.140403666455773,0.0932711785704991,"Lasker18Sc132_19_D0143",2018,"Merged2018","Lasker18S"
"118","Lasker18Sc133_3_D0147_UU",-0.112474227924744,-0.035865059880592,0.166617886377371,"Lasker18Sc133_3_D0147",2018,"Merged2018","Lasker18S"
"119","Lasker18Sc133_5_D0148_UU",-0.104038387652024,-0.0342422560319493,0.165295913391827,"Lasker18Sc133_5_D0148",2018,"Merged2018","Lasker18S"
"120","Lasker18Sc133_17_D0152_UU",0.0335143830301807,0.109745725836765,-0.00417619688559617,"Lasker18Sc133_17_D0152",2018,"Merged2018","Lasker18S"
"121","Lasker18Sc133_19_D0153_UU",0.0554995762322266,0.113683678784789,0.015070218277038,"Lasker18Sc133_19_D0153",2018,"Merged2018","Lasker18S"
"122","Lasker18Sc134_3_D0158_UU",0.0134404149265688,0.0573402437980017,0.134199945278319,"Lasker18Sc134_3_D0158",2018,"Merged2018","Lasker18S"
"123","Lasker18Sc134_5_D0159_UU",0.0135846403385916,0.0552011115752997,0.0961297677102333,"Lasker18Sc134_5_D0159",2018,"Merged2018","Lasker18S"
