"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1158","ASV_1158",-0.0018334174258378,-0.0424025734638415,0.016732866257581,"ASV_1158","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"1159","ASV_1159",-0.00218421380718965,-0.0137469441335715,0.00206973908718851,"ASV_1159","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",NA
"1160","ASV_1160",0.00127157692965851,-0.000670295815656899,-0.00309736928417167,"ASV_1160","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",NA
"1161","ASV_1161",0.019452179905298,-0.0561234460950818,0.0543254066059674,"ASV_1161","Bacteria","Proteobacteria","Gammaproteobacteria","OM182_clade","OM182_clade","OM182_clade",NA
"1162","ASV_1162",-0.0292194489805323,-0.0210882335685279,0.0268011813113019,"ASV_1162","Bacteria","Planctomycetota",NA,NA,NA,NA,NA
"1163","ASV_1163",0.00249472641837222,-0.00221844449504526,0.000131524884637333,"ASV_1163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Stappiaceae","uncultured_bacterium"
"1164","ASV_1164",0.00350597387424311,0.00497105782616927,0.00423256711456732,"ASV_1164","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"1165","ASV_1165",-0.00236910307735188,-0.0183721148463775,0.00466983089664564,"ASV_1165","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",NA
"1166","ASV_1166",0.00369294869982399,0.00399408934474852,0.00255446596385223,"ASV_1166","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","seawater_metagenome"
"1167","ASV_1167",0.000977598588733298,-0.00106351147156591,-0.000681784070366915,"ASV_1167","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"1168","ASV_1168",0.000378854070455955,-0.00450155654007563,0.000447645441869352,"ASV_1168","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group",NA
"1169","ASV_1169",0.000285150387674133,-0.000901827770962125,-0.00128799164361032,"ASV_1169","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","uncultured_organism"
"1170","ASV_1170",0.000866718239533076,-0.00885906930082505,0.00348632496232598,"ASV_1170","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group","uncultured_bacterium"
"1171","ASV_1171",0.000555227954406593,0.000513235955829548,-0.00194513798390994,"ASV_1171","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",NA
"1172","ASV_1172",0.00036279317723076,-0.0397336614933134,0.0190077442309833,"ASV_1172","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","uncultured","uncultured","uncultured_marine"
"1173","ASV_1173",0.000486175695144231,0.00166236445473522,-0.00237954359705961,"ASV_1173","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","uncultured_Bacteriovoracaceae"
"1174","ASV_1174",0.00304507132439113,-0.0425587153969558,0.0194054242995409,"ASV_1174","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_bacterium"
"1175","ASV_1175",0.00116788677541072,-0.00254052837151934,0.000519334662279986,"ASV_1175","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"1176","ASV_1176",0.00484942965809265,-0.000888993645248861,0.0142006296752981,"ASV_1176","Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22","JGI_0000069-P22","bacterium_RFB"
"1177","ASV_1177",-0.00931965287381129,-0.0233650935897012,0.00864888407978517,"ASV_1177","Bacteria","PAUC34f","PAUC34f","PAUC34f","PAUC34f","PAUC34f","uncultured_bacterium"
"1178","ASV_1178",0.00104431390008279,0.00079514824381113,-0.000558052416720001,"ASV_1178","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus","uncultured_marine"
"1179","ASV_1179",0.00086415798662804,-0.000588520274204859,-0.00123199301369054,"ASV_1179","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA,NA
"1180","ASV_1180",0.0108862941477312,0.00268952026386095,0.0197764178573455,"ASV_1180","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospira","uncultured_bacterium"
"1181","ASV_1181",0.010597165946402,0.0147254180629409,0.014098786663832,"ASV_1181","Bacteria",NA,NA,NA,NA,NA,NA
"1182","ASV_1182",-0.030672012635946,0.0106626256283745,0.0028770397797503,"ASV_1182","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","uncultured","uncultured_Bacteriovoracaceae"
"1183","ASV_1183",0.00134538271019753,0.00305431741415574,-0.00195866456827605,"ASV_1183","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)",NA
"1184","ASV_1184",0.00940336750688207,0.0122892743717618,0.00991190778658248,"ASV_1184","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"1185","ASV_1185",-0.0175693801516135,-0.00631821068344932,0.00786501412818293,"ASV_1185","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"1186","ASV_1186",0.00551853747463467,-0.0161485297258055,0.0143634027871893,"ASV_1186","Bacteria",NA,NA,NA,NA,NA,NA
"1187","ASV_1187",0.000798607418583455,-8.5449799498449e-05,-0.00175771488516713,"ASV_1187","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA
"1188","ASV_1188",0.00155285159103166,-0.0214307668040098,0.0101694603276301,"ASV_1188","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_Alphaproteobacteria"
"1189","ASV_1189",0.000851327556749082,-0.0025317575523308,0.000235108714828937,"ASV_1189","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum",NA
"1190","ASV_1190",-0.0105615802524736,0.0043409266172693,0.00523216607939416,"ASV_1190","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA
