,CN18FESPkoa_SC58_FF,CN18FESPkoa_SC57_FF,CN18FESPkoa_SC56_FF,CN18FESPkoa_SC55_FF,CN18FESPkoa_SC53_FF,CN18FESPkoa_SC52_FF,CN18FESPkoa_SC49_FF,CN18FESPkoa_SC47_FF,CN18FESPkoa_SC46_FF,CN18FESPkoa_SC44_FF,CN18FESPkoa_SC43_FF,CN18FESPkoa_SC41_FF,CN18FESPkoa_SC40_FF,CN18FESPkoa_SC37_FF,CN18FESPkoa_SC34_FF,CN18FESPkoa_SC32_FF,CN18FESPkoa_SC31_FF,CN18FESPkoa_SC30_FF,CN18FESPkoa_SC29_FF,CN18FESPkoa_SC26_FF,CN18FESPkoa_SC24_FF,CN18Fc12_8_eDNA_GG,CN18Fc19_5_eDNA_GG,CN18Fc21_6_eDNA_GG,CN18Fc22_6_eDNA_GG,CN18Fc24_6_eDNA_GG,CN18Fc25_5_eDNA_GG,CN18Fc27_4_eDNA_GG,CN18Fc29_6_eDNA_GG,CN18Fc30_4_eDNA_GG,CN18Fc32_4_eDNA_GG,CN18Fc33_5_eDNA_GG,CN18Fc36_6_eDNA_GG,CN18Fc38_5_eDNA_GG,CN18Fc40_6_eDNA_GG,CN18Fc41_6_eDNA_GG,CN18Fc43_5_eDNA_GG,CN18Fc44_8_eDNA_GG,CN18Fc46_8_eDNA_GG,CN18Fc47_6_eDNA_GG,CN18Fc49_6_eDNA_GG,CN18Fc51_5_eDNA_GG,CN18Sc09_2_eDNA_Y,CN18Sc10_2_eDNA_Y,CN18Sc14_2_eDNA_Y,CN18Sc14_8_eDNA_Y,CN18Sc15_2_eDNA_Y,CN18Sc15_8_eDNA_Y,CN18Sc18_2_eDNA_Y,CN18Sc18_8_eDNA_Y,CN18Sc27_2_eDNA_Y,CN18Sc27_8_eDNA_Y,CN18SESPkoa_SC49_Y,CN18SESPkoa_SC47_Y,CN18SESPkoa_SC45_Y,CN18SESPkoa_SC44_Y,CN18SESPkoa_SC42_Y,CN18SESPkoa_SC41_Y,CN18SESPkoa_SC40_Y,CN18SESPkoa_SC39_Y,CN18SESPkoa_SC37_Y,CN18SESPkoa_SC36_Y
ASV_36,64,33,7,9,16,2,12,13,10,20,17,12,18,8,33,0,21,7,5,14,15,19,3,0,1,0,6,5,0,3,0,6,0,1,4,4,0,6,0,3,3,5,5,22,48,112,15,600,33,328,0,387,10,75,15,519,2,387,0,445,5,600
ASV_38,53,86,61,44,69,25,27,86,41,67,49,54,38,72,143,72,93,100,94,92,199,9,45,27,36,40,24,75,51,12,67,86,41,41,63,37,46,113,93,18,99,262,5,15,0,37,3,26,8,49,0,22,1,12,2,72,5,110,3,23,1,91
ASV_39,1,4,41,31,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,9,0,1,6,0,6,5,13,0,8,4632,1,1,26085,193,8,7,3,17,2,30,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,9,52,53,20,115,0,34,0,15,0,31,22,0,52,56,66,28,10,64,102,50,0,0,0,0,3,0,34,85,0,49,4,0,0,1,0,14,5,21,0,5,46,0,19,146,223,8,193,1,163,0,6,0,53,72,644,31,400,441,1280,40,708
ASV_41,25,15,7,3,33,7,10,0,3,0,27,3,0,5,6,7,3,13,21,27,25,1,0,0,0,0,22,9,19,0,20,0,20,0,13,0,3,0,3,0,4,17,16,10,88,48,6,1013,15,393,0,1232,14,15,12,195,6,163,0,209,15,229
ASV_42,293,227,453,110,386,76,78,121,123,167,269,166,55,191,174,122,218,77,125,111,146,76,21,160,239,66,547,35,53,213,1307,99,135,166,100,144,157,57,70,56,14,71,0,2,18,16,0,1396,95,76,0,1600,0,16,21,450,0,563,1,37,3,198
ASV_43,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ASV_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,3,436,86,246,93,140,0,342,2,584,0,208,173,37,3,26,0,107,0,138,0
ASV_46,13,208,115,66,63,7,3,59,62,166,99,140,79,67,164,21,96,51,59,106,263,0,58,24,26,259,44,69,0,2,179,192,57,17,131,92,114,17,69,38,166,91,0,0,0,27,0,0,1,45,0,0,0,3,0,3,0,7,0,0,0,51
